guid,itemId,type,itemWatt,batteryCapacityWh,itemCategory,manufacturerID
19.05-600037,05-600037,NULL,0.00,0,Other,AAB84CAD
19.00-600104,00-600104,NULL,0.00,0,Other,AAB84CAD
19.00-600091,00-600091,NULL,0.00,0,Other,AAB84CAD
19.02-600057,02-600057,NULL,0.00,0,Inverters,AAB84CAD
19.00-600075,00-600075,NULL,0.00,0,Other,AAB84CAD
19.05-600038,05-600038,NULL,0.00,0,Other,AAB84CAD
19.00-600090,00-600090,NULL,0.00,0,Other,AAB84CAD
19.15-600007,15-600007,NULL,0.00,0,Other,AAB84CAD
19.01-600001,01-600001,NULL,0.00,0,Inverter Accessories,AAB84CAD
19.06-600002,06-600002,NULL,0.00,0,Other,FDD6CB3E
19.06-600016,06-600016,NULL,0.00,0,Other,FDD6CB3E
19.06-600009,06-600009,NULL,0.00,0,Charging Stations,FDD6CB3E
19.06-600011,06-600011,NULL,0.00,0,Other,FDD6CB3E
19.06-600023,06-600023,NULL,0.00,0,Other,FDD6CB3E
19.06-600010,06-600010,NULL,0.00,0,Other,FDD6CB3E
19.06-600006,06-600006,NULL,0.00,0,Charging Stations,FDD6CB3E
19.06-600008,06-600008,NULL,0.00,0,Charging Stations,FDD6CB3E
19.04-600012,04-600012,NULL,0.00,0,Other,FDD6CB3E
19.07-600013,07-600013,NULL,0.00,0,Other,FDD6CB3E
19.06-600025,06-600025,NULL,0.00,0,Other,FDD6CB3E
19.06-600024,06-600024,NULL,0.00,0,Other,FDD6CB3E
19.06-600001,06-600001,NULL,0.00,0,Other,FDD6CB3E
19.06-600012,06-600012,NULL,0.00,0,Other,FDD6CB3E
19.04-600018,04-600018,NULL,0.00,0,Other,CACF2E1F
19.05-000479,05-000479,NULL,0.00,2760,Storage,BB5B98F7
19.04-600008,04-600008,NULL,0.00,0,Other,76224EB9
19.04-600020,04-600020,NULL,0.00,0,Other,76224EB9
19.04-600002,04-600002,NULL,0.00,0,Other,AAB84CAD
19.15-000008,15-000008,NULL,0.00,0,Other,AAB84CAD
19.00-600100,00-600100,NULL,0.00,0,Other,AAB84CAD
19.01-600022,01-600022,NULL,0.00,0,Other,AAB84CAD
19.6-000003,6-000003,NULL,0.00,0,Other,AAB84CAD
19.08-000104,08-000104,NULL,0.00,0,Inverter Accessories,AAB84CAD
19.05-600002,05-600002,NULL,0.00,0,Storage,AAB84CAD
19.00-600102,00-600102,NULL,0.00,0,Other,AAB84CAD
19.05-600039,05-600039,NULL,0.00,0,Storage,AAB84CAD
19.15-600004,15-600004,NULL,0.00,0,Other,AAB84CAD
19.08-000297,08-000297,NULL,0.00,0,Inverter Accessories,AAB84CAD
19.02-600106,02-600106,NULL,30000.00,0,Inverters,B34182A9
19.02-600100,02-600100,NULL,8000.00,0,Inverters,B34182A9
19.02-600102,02-600102,NULL,6000.00,0,Inverters,B34182A9
19.02-000800,02-000800,NULL,10000.00,0,Inverters,AAB84CAD
19.02-600101,02-600101,NULL,10000.00,0,Inverters,B34182A9
19.02-600104,02-600104,NULL,10000.00,0,Inverters,B34182A9
19.02-600091,02-600091,NULL,6000.00,0,Inverters,12CE9BF8
19.02-600140,02-600140,NULL,110000.00,0,Inverters,12CE9BF8
19.02-600095,02-600095,NULL,20000.00,0,Inverters,12CE9BF8
19.02-600093,02-600093,NULL,10000.00,0,Inverters,12CE9BF8
19.02-600094,02-600094,NULL,15000.00,0,Inverters,12CE9BF8
19.02-600099,02-600099,NULL,0.00,0,Inverters,12CE9BF8
19.02-600096,02-600096,NULL,30000.00,0,Inverters,12CE9BF8
19.02-700076,02-700076,NULL,3000.00,0,Inverters,A9638684
19.02-600036,02-600036,NULL,0.00,0,Inverters,A9638684
19.09-600002,09-600002,NULL,0.00,0,Other,A9638684
19.02-600127,02-600127,NULL,15000.00,0,Inverters,A9638684
19.09-600023,09-600023,NULL,0.00,0,Other,A9638684
19.01-600026,01-600026,NULL,0.00,0,Modules,AAB84CAD
19.06-600014,06-600014,NULL,0.00,0,Other,FDD6CB3E
19.06-600003,06-600003,NULL,0.00,0,Other,FDD6CB3E
19.06-600013,06-600013,NULL,0.00,0,Other,FDD6CB3E
19.06-600018,06-600018,NULL,0.00,0,Other,FDD6CB3E
19.04-600013,04-600013,NULL,0.00,0,Other,FDD6CB3E
19.06-600004,06-600004,NULL,0.00,0,Other,FDD6CB3E
19.06-600022,06-600022,NULL,0.00,0,Other,FDD6CB3E
19.07-600018,07-600018,NULL,0.00,0,Charging Stations,FDD6CB3E
19.06-600015,06-600015,NULL,0.00,0,Other,FDD6CB3E
19.06-600017,06-600017,NULL,0.00,0,Other,FDD6CB3E
19.07-600014,07-600014,NULL,0.00,0,Other,FDD6CB3E
19.04-600039,04-600039,NULL,0.00,0,Other,FDD6CB3E
19.01-600042,01-600042,NULL,0.00,0,Modules,9A897556
