guid,headerGuid,itemGuid,locationGuid,purchaseOrderNumber,inventoryGuid,status,createdDate,tranDate,plannedDate,actualReceiptDate,invoiceType,qtyOrdered,qtyOpen,qtyReceived,amount,itemRate,isDropShip,isIntercompany,SubsidiaryID
19.PO2205002.5,19.PO2205002,19.02-700032,19.Default,PO2205002,19.Default.19.02-700032,Canceled,2022-10-01,2022-10-01,2022-10-03,NULL,R,144.00,144.00,0.00,161072.9568,3355.6866000,0,0,A
19.PO2205002.9,19.PO2205002,19.02-600042,19.Default,PO2205002,19.Default.19.02-600042,Canceled,2022-10-01,2022-10-01,2022-10-03,NULL,R,576.00,0.00,0.00,385059.4560,2005.5180000,0,0,A
19.PO2205002.10,19.PO2205002,19.02-600041,19.Default,PO2205002,19.Default.19.02-600041,Canceled,2022-10-01,2022-10-01,2022-10-03,NULL,R,840.00,840.00,0.00,1235258.4160,4411.6372000,0,0,A
19.PO2205002.6,19.PO2205002,19.02-700033,19.Default,PO2205002,19.Default.19.02-700033,Canceled,2022-10-01,2022-10-01,2022-10-03,NULL,R,288.00,288.00,0.00,339385.2672,3535.2632000,0,0,A
19.PO2205002.4,19.PO2205002,19.02-600051,19.Default,PO2205002,19.Default.19.02-600051,Canceled,2022-10-01,2022-10-01,2022-10-03,NULL,R,180.00,180.00,0.00,289627.3200,4827.1220000,0,0,A
19.PO2205002.7,19.PO2205002,19.02-700034,19.Default,PO2205002,19.Default.19.02-700034,Canceled,2022-10-01,2022-10-01,2022-10-03,NULL,R,1080.00,1080.00,0.00,1303328.5920,3620.3572000,0,0,A
19.PO2205002.3,19.PO2205002,19.02-600049,19.Default,PO2205002,19.Default.19.02-600049,Canceled,2022-10-01,2022-10-01,2022-10-03,NULL,R,144.00,144.00,0.00,223383.6192,4653.8254000,0,0,A
19.PO2205002.11,19.PO2205002,19.02-600043,19.Default,PO2205002,19.Default.19.02-600043,Canceled,2022-10-01,2022-10-01,2022-10-03,NULL,R,600.00,600.00,0.00,20165.0800,100.8254000,0,0,A
19.PO2205002.2,19.PO2205002,19.02-600013,19.Default,PO2205002,19.Default.19.02-600013,Canceled,2022-10-01,2022-10-01,2022-10-03,NULL,R,72.00,72.00,0.00,103449.6864,4310.4036000,0,0,A
19.PO2205002.8,19.PO2205002,19.02-600040,19.Default,PO2205002,19.Default.19.02-600040,Canceled,2022-10-01,2022-10-01,2022-10-03,NULL,R,4608.00,0.00,0.00,5357095.2192,3487.6922000,0,0,A
19.220513-147-SH.1,19.220513-147-SH,19.05-600001,19.Default,220513-147-SH,19.Default.19.05-600001,Fully Billed,2022-10-04,2022-10-04,2022-12-19,NULL,G,2160.00,0.00,2160.00,1361001.6000,1890.2800000,0,0,A
19.220420-132-SH.2,19.220420-132-SH,19.05-600003,19.Default,220420-132-SH,19.Default.19.05-600003,Fully Billed,2022-10-04,2022-10-04,2023-04-01,NULL,G,720.00,0.00,720.00,308976.0000,1287.4000000,0,0,A
19.220429-143-SH.1,19.220429-143-SH,19.05-600001,19.Default,220429-143-SH,19.Default.19.05-600001,Fully Billed,2022-10-04,2022-10-04,NULL,NULL,G,2160.00,0.00,2160.00,1361001.6000,1890.2800000,0,0,A
19.220420-131-SH.2,19.220420-131-SH,19.05-600006,19.Default,220420-131-SH,19.Default.19.05-600006,Fully Billed,2022-10-04,2022-10-04,NULL,NULL,G,432.00,0.00,432.00,14921.2800,103.6200000,0,0,A
19.220323-129-SH.8,19.220323-129-SH,19.05-600010,19.Default,220323-129-SH,19.Default.19.05-600010,Fully Billed,2022-10-04,2022-10-04,NULL,NULL,A,288.00,0.00,288.00,261649.9200,2725.5200000,0,0,A
19.220312-121-SH.1,19.220312-121-SH,19.05-600013,19.Default,220312-121-SH,19.Default.19.05-600013,Fully Billed,2022-10-04,2022-10-04,NULL,NULL,G,1248.00,0.00,1248.00,1163859.8400,2797.7400000,0,0,A
19.220323-129-SH.1,19.220323-129-SH,19.05-600007,19.Default,220323-129-SH,19.Default.19.05-600007,Fully Billed,2022-10-04,2022-10-04,NULL,NULL,G,420.00,0.00,420.00,434324.8000,3102.3200000,0,0,A
19.220312-119-SH.1,19.220312-119-SH,19.05-600013,19.Default,220312-119-SH,19.Default.19.05-600013,Fully Billed,2022-10-04,2022-10-04,2022-10-14,NULL,G,1248.00,0.00,1248.00,1163859.8400,2797.7400000,0,0,A
19.220318-124-SH.1,19.220318-124-SH,19.05-600013,19.Default,220318-124-SH,19.Default.19.05-600013,Fully Billed,2022-10-04,2022-10-04,NULL,NULL,G,1248.00,0.00,1248.00,1163859.8400,2797.7400000,0,0,A
19.220822-207-SH.1,19.220822-207-SH,19.05-600013,19.Default,220822-207-SH,19.Default.19.05-600013,Fully Billed,2022-10-04,2022-10-04,2023-02-08,NULL,G,1248.00,0.00,1248.00,1163859.8400,2797.7400000,0,0,A
19.220318-122-SH.1,19.220318-122-SH,19.05-600013,19.Default,220318-122-SH,19.Default.19.05-600013,Fully Billed,2022-10-04,2022-10-04,NULL,NULL,G,1248.00,0.00,1248.00,1163859.8400,2797.7400000,0,0,A
