guid,locationGuid,itemGuid,quantityAvailable,quantityBackOrdered,quantityCommitted,quantityInTransit,quantityOnHand,quantityOnOrder,averageCost,SubsidiaryID
9.250.9.6217,9.250,9.6217,1,0,0,0,1,0,5928.6654000,G
9.299.9.6217,9.299,9.6217,4,0,0,0,4,4,5261.2348500,G
9.282.9.1508,9.282,9.1508,9,0,0,0,9,0,2808.5416000,G
9.299.9.1550,9.299,9.1550,1,0,0,0,1,0,2534.3568000,G
9.299.9.16696,9.299,9.16696,1,0,0,0,1,0,792.9442000,G
9.261.9.7006,9.261,9.7006,19,0,0,0,19,0,82.7918776,G
9.244.9.7006,9.244,9.7006,33,0,0,0,33,0,83.8066000,G
9.261.9.12958,9.261,9.12958,139,0,0,0,139,0,59.5030000,G
9.299.9.16702,9.299,9.16702,0,9,0,0,0,55,49.5931600,G
9.261.9.16702,9.261,9.16702,0,0,0,0,0,20,49.0154000,G
9.13.9.7076,9.13,9.7076,32,0,0,0,32,0,193.8636000,G
9.282.9.7076,9.282,9.7076,1,0,1,0,2,0,185.9351000,G
9.278.9.7076,9.278,9.7076,68,0,0,0,68,0,194.1928290,G
9.261.9.7076,9.261,9.7076,13,0,31,0,44,0,191.1318000,G
9.250.9.7076,9.250,9.7076,1,0,0,0,1,0,199.0760000,G
9.299.9.7076,9.299,9.7076,392,0,7,0,399,0,194.8927036,G
9.282.9.1526,9.282,9.1526,6,0,0,0,6,0,3335.8104000,G
9.13.9.11465,9.13,9.11465,5,0,0,0,5,0,47.1000000,G
9.280.9.12186,9.280,9.12186,3,0,0,0,3,0,4957.5262000,G
9.261.9.12186,9.261,9.12186,1,0,0,0,1,0,4892.1200000,G
9.281.9.12186,9.281,9.12186,1,0,0,0,1,0,0.0000000,G
9.250.9.12186,9.250,9.12186,1,0,0,0,1,0,5718.0342000,G
9.299.9.12186,9.299,9.12186,3,0,4,0,7,0,4927.9922706,G
9.244.9.12186,9.244,9.12186,2,0,6,0,8,0,4981.8101750,G
9.245.9.12186,9.245,9.12186,2,0,0,0,2,0,4989.9624000,G
9.13.9.12186,9.13,9.12186,0,3,4,0,4,3,4837.1935500,G
9.244.9.8793,9.244,9.8793,734,0,41,0,775,0,50.8994000,G
9.278.9.7065,9.278,9.7065,15,0,0,0,15,0,358.4184400,G
9.299.9.14096,9.299,9.14096,8,0,3,0,11,5,181.3549704,G
9.244.9.14096,9.244,9.14096,1,0,1,0,2,1,181.4292000,G
9.13.9.14096,9.13,9.14096,4,0,0,0,4,0,184.7890000,G
9.278.9.14096,9.278,9.14096,6,0,0,0,6,0,185.4484000,G
9.261.9.7708,9.261,9.7708,1,0,0,0,1,0,4159.8720000,G
9.13.9.7708,9.13,9.7708,6,0,0,0,6,0,3874.1163000,G
9.282.9.7708,9.282,9.7708,10,0,0,0,10,0,3910.6816000,G
9.302.9.7705,9.302,9.7705,1,0,0,0,1,0,3848.9492000,G
9.278.9.7705,9.278,9.7705,6,0,0,0,6,0,3835.2902000,G
9.299.9.7705,9.299,9.7705,32,0,0,0,32,0,3855.8218750,G
9.13.9.6217,9.13,9.6217,0,0,1,0,1,0,5928.6654000,G
9.278.9.6217,9.278,9.6217,4,0,0,0,4,0,5666.5696000,G
9.282.9.11459,9.282,9.11459,3,0,2,0,5,0,15183.6521200,G
9.13.9.4536,9.13,9.4536,2,0,0,0,2,0,3.1400000,G
9.282.9.14511,9.282,9.14511,5,0,0,0,5,0,6157.1632000,G
9.244.9.14511,9.244,9.14511,2,0,1,0,3,0,6281.1408562,G
9.13.9.14511,9.13,9.14511,1,0,0,0,1,0,6102.1190000,G
9.302.9.14511,9.302,9.14511,1,0,0,0,1,0,5864.3268000,G
9.282.9.14510,9.282,9.14510,1,0,0,0,1,0,5893.9684000,G
9.278.9.14510,9.278,9.14510,3,0,0,0,3,0,5992.3446000,G
9.261.9.14510,9.261,9.14510,2,0,0,0,2,0,6011.8440000,G
