guid,headerGuid,itemGuid,locationGuid,purchaseOrderNumber,inventoryGuid,status,createdDate,tranDate,plannedDate,actualReceiptDate,invoiceType,qtyOrdered,qtyOpen,qtyReceived,amount,itemRate,isDropShip,isIntercompany,SubsidiaryID
9.1073630.1,9.1073630,9.12519,NULL,PO-F-2021-0881,NULL,Fully Billed,2021-11-29,2022-01-04,2022-01-04,2022-01-12,G,2772.00,0.00,2772.00,349468.8120,378.2130000,NULL,0,G
9.1181991.1,9.1181991,9.11348,9.244,PO-F-2022-0011,9.244.9.11348,Fully Billed,2022-01-05,2022-01-05,2022-01-05,2022-01-06,A,3.00,0.00,3.00,12511.4242,12511.4242000,NULL,1,G
9.870911.1,9.870911,9.12228,9.244,PO-F-2021-0660,9.244.9.12228,Fully Billed,2021-10-08,2022-01-07,2022-01-07,2022-01-03,G,2772.00,0.00,2772.00,315522.9000,341.4750000,NULL,0,G
9.1096112.5,9.1096112,9.11820,9.244,PO-F-2021-0940,9.244.9.11820,Fully Billed,2021-12-02,2022-01-10,2022-01-10,2022-01-12,A,60.00,0.00,60.00,7600.6840,380.0342000,NULL,0,G
9.1112223.1,9.1112223,9.4997,9.244,PO-F-2021-0950,9.244.9.4997,Fully Billed,2021-12-07,2022-01-10,2022-01-10,2022-01-11,A,30.00,0.00,30.00,91279.8000,9127.9800000,NULL,0,G
9.1096112.2,9.1096112,9.8320,9.244,PO-F-2021-0940,9.244.9.8320,Fully Billed,2021-12-02,2022-01-10,2022-01-10,2022-01-12,A,6.00,0.00,6.00,1507.2000,753.6000000,NULL,0,G
9.1112223.4,9.1112223,9.11801,9.244,PO-F-2021-0950,9.244.9.11801,Fully Billed,2021-12-07,2022-01-10,2022-01-10,2022-01-11,A,3.00,0.00,3.00,144.4400,144.4400000,NULL,0,G
9.1096112.4,9.1096112,9.11953,9.244,PO-F-2021-0940,9.244.9.11953,Fully Billed,2021-12-02,2022-01-10,2022-01-10,2022-01-12,A,6.00,0.00,6.00,1193.2000,596.6000000,NULL,0,G
9.1112223.3,9.1112223,9.1957,9.244,PO-F-2021-0950,9.244.9.1957,Fully Billed,2021-12-07,2022-01-10,2022-01-10,2022-01-11,A,3.00,0.00,3.00,514.9600,514.9600000,NULL,0,G
9.1135431.2,9.1135431,9.11239,9.244,PO-F-2021-0982,9.244.9.11239,Fully Billed,2021-12-13,2022-01-10,2022-01-10,2022-01-07,A,30.00,0.00,30.00,28517.4800,2851.7480000,NULL,0,G
9.1096112.6,9.1096112,9.9404,9.244,PO-F-2021-0940,9.244.9.9404,Fully Billed,2021-12-02,2022-01-10,2022-01-10,2022-01-12,A,3.00,0.00,3.00,1821.2000,1821.2000000,NULL,0,G
9.1135431.1,9.1135431,9.11221,9.244,PO-F-2021-0982,9.244.9.11221,Fully Billed,2021-12-13,2022-01-10,2022-01-10,2022-01-07,A,45.00,0.00,45.00,34901.1000,2326.7400000,NULL,0,G
9.1096112.1,9.1096112,9.8551,9.244,PO-F-2021-0940,9.244.9.8551,Fully Billed,2021-12-02,2022-01-10,2022-01-10,2022-01-12,A,30.00,0.00,30.00,4678.6000,467.8600000,NULL,0,G
9.1135431.4,9.1135431,9.11742,9.244,PO-F-2021-0982,9.244.9.11742,Fully Billed,2021-12-13,2022-01-10,2022-01-10,2022-01-07,A,30.00,0.00,30.00,1226.4840,122.6484000,NULL,0,G
9.1135431.3,9.1135431,9.11240,9.244,PO-F-2021-0982,9.244.9.11240,Fully Billed,2021-12-13,2022-01-10,2022-01-10,2022-01-07,A,3.00,0.00,3.00,3925.6280,3925.6280000,NULL,0,G
9.1057370.1,9.1057370,9.12551,9.244,PO-F-2021-0857,9.244.9.12551,Fully Billed,2021-11-24,2022-01-10,2022-01-10,2022-01-10,G,2688.00,0.00,2688.00,369264.0000,412.1250000,NULL,0,G
9.1200537.1,9.1200537,9.11875,NULL,PO-F-2022-0030,NULL,Fully Billed,2022-01-10,2022-01-10,2022-01-10,2022-01-18,A,3.00,0.00,3.00,502.4000,502.4000000,NULL,0,G
9.1176532.2,9.1176532,9.11251,9.244,PO-F-2022-0003,9.244.9.11251,Fully Billed,2022-01-03,2022-01-11,2022-01-11,2022-01-12,A,9.00,0.00,9.00,6108.4932,2036.1644000,NULL,1,G
9.1176532.5,9.1176532,9.7016,9.244,PO-F-2022-0003,9.244.9.7016,Fully Billed,2022-01-03,2022-01-11,2022-01-11,2022-01-12,A,210.00,0.00,210.00,5251.0220,75.0146000,NULL,1,G
9.1207053.1,9.1207053,9.857,NULL,PO-F-2022-0043,NULL,Fully Billed,2022-01-11,2022-01-11,2022-01-25,2022-01-13,A,3.00,0.00,3.00,662.5400,662.5400000,NULL,0,G
9.1176532.8,9.1176532,9.5472,9.244,PO-F-2022-0003,9.244.9.5472,Fully Billed,2022-01-03,2022-01-11,2022-01-11,2022-01-12,R,300.00,0.00,300.00,3262.4600,32.6246000,NULL,1,G
9.1176530.7,9.1176530,9.6203,9.244,PO-F-2022-0002,9.244.9.6203,Fully Billed,2022-01-03,2022-01-11,2022-01-11,2022-01-12,A,6.00,0.00,6.00,9039.7460,4519.8730000,NULL,1,G
9.1176532.11,9.1176532,9.5478,9.244,PO-F-2022-0003,9.244.9.5478,Fully Billed,2022-01-03,2022-01-11,2022-01-11,2022-01-12,A,225.00,0.00,225.00,386.2200,5.1496000,NULL,1,G
9.1176530.10,9.1176530,9.9556,9.244,PO-F-2022-0002,9.244.9.9556,Fully Billed,2022-01-03,2022-01-11,2022-01-11,2022-01-12,A,3.00,0.00,3.00,59.2832,59.2832000,NULL,1,G
9.1176532.14,9.1176532,9.6794,9.244,PO-F-2022-0003,9.244.9.6794,Fully Billed,2022-01-03,2022-01-11,2022-01-11,2022-01-12,R,300.00,0.00,300.00,28542.6000,285.4260000,NULL,1,G
9.1176530.2,9.1176530,9.3562,9.244,PO-F-2022-0002,9.244.9.3562,Fully Billed,2022-01-03,2022-01-11,2022-01-11,2022-01-12,G,450.00,0.00,450.00,1050.3300,7.0022000,NULL,1,G
9.1179230.1,9.1179230,9.12603,9.244,PO-F-2022-0008,9.244.9.12603,Fully Billed,2022-01-04,2022-01-11,2022-01-11,2022-01-12,R,300.00,0.00,300.00,5334.8600,53.3486000,NULL,1,G
9.1176530.5,9.1176530,9.7067,9.244,PO-F-2022-0002,9.244.9.7067,Fully Billed,2022-01-03,2022-01-11,2022-01-11,2022-01-12,X,6000.00,0.00,6000.00,5903.2000,2.9516000,NULL,1,G
9.1176532.6,9.1176532,9.8352,9.244,PO-F-2022-0003,9.244.9.8352,Fully Billed,2022-01-03,2022-01-11,2022-01-11,2022-01-12,A,6.00,0.00,6.00,1265.2316,632.6158000,NULL,1,G
9.1176530.3,9.1176530,9.2955,9.244,PO-F-2022-0002,9.244.9.2955,Fully Billed,2022-01-03,2022-01-11,2022-01-11,2022-01-12,A,6.00,0.00,6.00,55.8920,27.9460000,NULL,1,G
9.1176532.12,9.1176532,9.5454,9.244,PO-F-2022-0003,9.244.9.5454,Fully Billed,2022-01-03,2022-01-11,2022-01-11,2022-01-12,A,225.00,0.00,225.00,393.2850,5.2438000,NULL,1,G
9.1176530.9,9.1176530,9.9565,9.244,PO-F-2022-0002,9.244.9.9565,Fully Billed,2022-01-03,2022-01-11,2022-01-11,2022-01-12,A,9.00,0.00,9.00,180.2046,60.0682000,NULL,1,G
9.1176532.7,9.1176532,9.5471,9.244,PO-F-2022-0003,9.244.9.5471,Fully Billed,2022-01-03,2022-01-11,2022-01-11,2022-01-12,R,300.00,0.00,300.00,2807.1600,28.0716000,NULL,1,G
9.1176532.15,9.1176532,9.7137,9.244,PO-F-2022-0003,9.244.9.7137,Fully Billed,2022-01-03,2022-01-11,2022-01-11,2022-01-12,G,1500.00,0.00,1500.00,186311.9000,372.6238000,NULL,1,G
9.1176532.4,9.1176532,9.11820,9.244,PO-F-2022-0003,9.244.9.11820,Fully Billed,2022-01-03,2022-01-11,2022-01-11,2022-01-12,A,60.00,0.00,60.00,8086.1280,404.3064000,NULL,1,G
9.1176532.9,9.1176532,9.5476,9.244,PO-F-2022-0003,9.244.9.5476,Fully Billed,2022-01-03,2022-01-11,2022-01-11,2022-01-12,R,300.00,0.00,300.00,2373.8400,23.7384000,NULL,1,G
9.1176530.6,9.1176530,9.1900,9.244,PO-F-2022-0002,9.244.9.1900,Fully Billed,2022-01-03,2022-01-11,2022-01-11,2022-01-12,A,108.00,0.00,108.00,76240.9584,2117.8044000,NULL,1,G
9.1176532.1,9.1176532,9.11241,9.244,PO-F-2022-0003,9.244.9.11241,Fully Billed,2022-01-03,2022-01-11,2022-01-11,2022-01-12,A,3.00,0.00,3.00,4280.8562,4280.8562000,NULL,1,G
9.1207029.1,9.1207029,9.11880,NULL,PO-F-2022-0040,NULL,Fully Billed,2022-01-11,2022-01-11,2022-01-25,2022-01-13,A,3.00,0.00,3.00,2512.0000,2512.0000000,NULL,0,G
9.1176532.13,9.1176532,9.5065,9.244,PO-F-2022-0003,9.244.9.5065,Fully Billed,2022-01-03,2022-01-11,2022-01-11,2022-01-12,A,150.00,0.00,150.00,2180.7300,43.6146000,NULL,1,G
9.1206725.1,9.1206725,9.11878,NULL,PO-F-2022-0038,NULL,Fully Billed,2022-01-11,2022-01-11,2022-01-25,2022-01-13,A,6.00,0.00,6.00,3014.4000,1507.2000000,NULL,0,G
9.1176532.10,9.1176532,9.5505,9.244,PO-F-2022-0003,9.244.9.5505,Fully Billed,2022-01-03,2022-01-11,2022-01-11,2022-01-12,R,300.00,0.00,300.00,2367.5600,23.6756000,NULL,1,G
9.1207028.1,9.1207028,9.11880,NULL,PO-F-2022-0039,NULL,Fully Billed,2022-01-11,2022-01-11,2022-01-25,2022-01-13,A,3.00,0.00,3.00,2512.0000,2512.0000000,NULL,0,G
9.1176532.3,9.1176532,9.11956,9.244,PO-F-2022-0003,9.244.9.11956,Fully Billed,2022-01-03,2022-01-11,2022-01-11,2022-01-12,A,9.00,0.00,9.00,8942.0292,2980.6764000,NULL,1,G
9.1207039.1,9.1207039,9.855,NULL,PO-F-2022-0042,NULL,Fully Billed,2022-01-11,2022-01-11,2022-01-25,2022-01-11,A,3.00,0.00,3.00,1246.5800,1246.5800000,NULL,0,G
9.1176530.8,9.1176530,9.5857,9.244,PO-F-2022-0002,9.244.9.5857,Fully Billed,2022-01-03,2022-01-11,2022-01-11,2022-01-12,A,150.00,0.00,150.00,6455.8400,129.1168000,NULL,1,G
9.1207053.2,9.1207053,9.862,NULL,PO-F-2022-0043,NULL,Fully Billed,2022-01-11,2022-01-11,2022-01-25,2022-01-13,A,3.00,0.00,3.00,979.6800,979.6800000,NULL,0,G
9.1176530.1,9.1176530,9.2303,9.244,PO-F-2022-0002,9.244.9.2303,Fully Billed,2022-01-03,2022-01-11,2022-01-11,2022-01-12,A,60.00,0.00,60.00,116.8080,5.8404000,NULL,1,G
9.1176530.4,9.1176530,9.4466,9.244,PO-F-2022-0002,9.244.9.4466,Fully Billed,2022-01-03,2022-01-11,2022-01-11,2022-01-12,R,3000.00,0.00,3000.00,219.8000,0.2198000,NULL,1,G
9.794069.1,9.794069,9.6564,9.244,PO-F-2021-0554,9.244.9.6564,Fully Billed,2021-09-16,2022-01-12,2022-01-12,2022-01-12,R,0.00,0.00,0.00,0.0000,0.0000000,NULL,1,G
9.1161810.2,9.1161810,9.8943,NULL,PO-F-2021-1015,NULL,Fully Billed,2021-12-20,2022-01-12,2022-01-12,2022-01-12,R,300.00,0.00,300.00,219.8000,2.1980000,NULL,1,G
9.1161810.1,9.1161810,9.9397,NULL,PO-F-2021-1015,NULL,Fully Billed,2021-12-20,2022-01-12,2022-01-12,2022-01-12,R,300.00,0.00,300.00,251.2000,2.5120000,NULL,1,G
9.1056687.2,9.1056687,9.3254,9.244,PO-F-2021-0856,9.244.9.3254,Fully Billed,2021-11-24,2022-01-13,2022-01-13,2022-01-13,A,147.00,0.00,147.00,407.7290,8.3210000,NULL,1,G
9.1193460.1,9.1193460,9.10871,9.244,PO-F-2022-0018,9.244.9.10871,Fully Billed,2022-01-07,2022-01-13,2022-01-13,2022-01-13,G,2160.00,0.00,2160.00,212379.5520,294.9716000,NULL,1,G
9.1020875.1,9.1020875,9.4510,9.244,PO-F-2021-0828,9.244.9.4510,Fully Billed,2021-11-16,2022-01-13,2022-01-13,2022-01-13,X,12000.00,0.00,12000.00,57399.2000,14.3498000,NULL,1,G
9.1217744.1,9.1217744,9.11209,NULL,PO-F-2022-0050,NULL,Closed,2022-01-13,2022-01-13,2022-01-13,2022-01-13,A,3.00,0.00,3.00,2731.8000,2731.8000000,NULL,0,G
9.1218307.1,9.1218307,9.11857,NULL,PO-F-2022-0076,NULL,Fully Billed,2022-01-13,2022-01-13,2022-01-27,2022-01-13,A,6.00,0.00,6.00,7018.5280,3509.2640000,NULL,0,G
9.1193439.1,9.1193439,9.10871,9.244,PO-F-2022-0017,9.244.9.10871,Fully Billed,2022-01-07,2022-01-13,2022-01-17,2022-01-17,G,2160.00,0.00,2160.00,212379.5520,294.9716000,NULL,1,G
9.1074666.1,9.1074666,9.12519,NULL,PO-F-2021-0882,NULL,Fully Billed,2021-11-29,2022-01-13,2022-01-13,2022-01-13,G,1386.00,0.00,1386.00,174734.4060,378.2130000,NULL,0,G
9.1193667.1,9.1193667,9.11351,9.244,PO-F-2022-0019,9.244.9.11351,Fully Billed,2022-01-07,2022-01-13,2022-01-13,2022-01-13,G,2418.00,0.00,2418.00,252679.0656,313.4976000,NULL,1,G
9.1056687.1,9.1056687,9.2471,9.244,PO-F-2021-0856,9.244.9.2471,Fully Billed,2021-11-24,2022-01-13,2022-01-13,2022-01-13,A,60.00,0.00,60.00,2082.4480,104.1224000,NULL,1,G
9.1116727.1,9.1116727,9.9451,9.244,PO-F-2021-0953,9.244.9.9451,Fully Billed,2021-12-08,2022-01-14,2021-12-14,2021-12-14,A,3.00,0.00,3.00,216.6600,216.6600000,NULL,0,G
9.1202273.24,9.1202273,9.8810,9.244,PO-F-2022-0033,9.244.9.8810,Fully Billed,2022-01-11,2022-01-14,2022-01-20,2022-01-20,A,15.00,0.00,15.00,7468.6470,1493.7294000,NULL,1,G
9.1167089.1,9.1167089,9.9397,9.244,PO-F-2021-1036,9.244.9.9397,Fully Billed,2021-12-21,2022-01-14,2022-01-14,2022-01-17,G,1500.00,0.00,1500.00,1177.5000,2.3550000,NULL,0,G
9.1202273.8,9.1202273,9.7061,9.244,PO-F-2022-0033,9.244.9.7061,Fully Billed,2022-01-11,2022-01-14,2022-01-20,2022-01-20,R,33600.00,0.00,33600.00,31299.5200,2.7946000,NULL,1,G
9.1118059.1,9.1118059,9.11350,9.244,PO-F-2021-0964,9.244.9.11350,Fully Billed,2021-12-08,2022-01-14,2022-01-10,2022-01-10,G,2418.00,0.00,2418.00,248503.1796,308.3166000,NULL,1,G
9.1202273.6,9.1202273,9.5730,9.244,PO-F-2022-0033,9.244.9.5730,Fully Billed,2022-01-11,2022-01-14,2022-01-20,2022-01-20,R,3000.00,0.00,3000.00,9891.0000,9.8910000,NULL,1,G
9.1202273.23,9.1202273,9.4847,9.244,PO-F-2022-0033,9.244.9.4847,Fully Billed,2022-01-11,2022-01-14,2022-01-20,2022-01-20,A,150.00,0.00,150.00,9746.5600,194.9312000,NULL,1,G
9.1202273.3,9.1202273,9.3151,9.244,PO-F-2022-0033,9.244.9.3151,Fully Billed,2022-01-11,2022-01-14,2022-01-20,2022-01-20,X,7200.00,0.00,7200.00,6707.0400,2.7946000,NULL,1,G
9.1202273.21,9.1202273,9.11268,9.244,PO-F-2022-0033,9.244.9.11268,Fully Billed,2022-01-11,2022-01-14,2022-01-20,2022-01-20,A,18.00,0.00,18.00,68890.9092,11481.8182000,NULL,1,G
9.1118055.1,9.1118055,9.11350,9.244,PO-F-2021-0963,9.244.9.11350,Fully Billed,2021-12-08,2022-01-14,2022-01-10,2022-01-10,G,2418.00,0.00,2418.00,248503.1796,308.3166000,NULL,1,G
9.1202273.18,9.1202273,9.4490,9.244,PO-F-2022-0033,9.244.9.4490,Fully Billed,2022-01-11,2022-01-14,2022-01-20,2022-01-20,A,30.00,0.00,30.00,22870.1900,2287.0190000,NULL,1,G
9.1202273.20,9.1202273,9.6195,9.244,PO-F-2022-0033,9.244.9.6195,Fully Billed,2022-01-11,2022-01-14,2022-01-20,2022-01-20,R,300.00,0.00,300.00,13206.8400,132.0684000,NULL,1,G
9.1202273.4,9.1202273,9.3152,9.244,PO-F-2022-0033,9.244.9.3152,Fully Billed,2022-01-11,2022-01-14,2022-01-20,2022-01-20,R,3000.00,0.00,3000.00,8289.6000,8.2896000,NULL,1,G
9.1223214.2,9.1223214,9.8472,9.244,PO-F-2022-0107,9.244.9.8472,Fully Billed,2022-01-14,2022-01-14,2022-03-05,2022-03-04,G,648.00,0.00,648.00,222079.5144,1028.1616000,NULL,0,G
9.1223214.1,9.1223214,9.8469,9.244,PO-F-2022-0107,9.244.9.8469,Fully Billed,2022-01-14,2022-01-14,2022-02-04,2022-02-04,G,648.00,0.00,648.00,222079.5144,1028.1616000,NULL,0,G
