guid,locationGuid,itemGuid,quantityAvailable,quantityBackOrdered,quantityCommitted,quantityInTransit,quantityOnHand,quantityOnOrder,averageCost,SubsidiaryID
9.302.9.16936,9.302,9.16936,1,0,0,0,1,0,997.3582,J
9.302.9.16943,9.302,9.16943,1,0,0,0,1,0,1340.5916,J
9.278.9.7065,9.278,9.7065,15,0,0,0,15,0,358.41844,J
9.261.9.7708,9.261,9.7708,1,0,0,0,1,0,4159.872,J
9.13.9.7708,9.13,9.7708,6,0,0,0,6,0,3874.1163,J
9.282.9.7708,9.282,9.7708,10,0,0,0,10,0,3910.6816,J
9.302.9.7705,9.302,9.7705,1,0,0,0,1,0,3848.9492,J
9.278.9.7705,9.278,9.7705,6,0,0,0,6,0,3835.2902,J
9.299.9.7705,9.299,9.7705,32,0,0,0,32,0,3855.821875,J
9.13.9.6217,9.13,9.6217,0,0,1,0,1,0,5928.6654,J
9.278.9.6217,9.278,9.6217,4,0,0,0,4,0,5666.5696,J
9.250.9.6217,9.25,9.6217,1,0,0,0,1,0,5928.6654,J
9.299.9.6217,9.299,9.6217,4,0,0,0,4,4,5261.23485,J
9.282.9.1508,9.282,9.1508,9,0,0,0,9,0,2808.5416,J
9.299.9.1550,9.299,9.155,1,0,0,0,1,0,2534.3568,J
9.299.9.16696,9.299,9.16696,1,0,0,0,1,0,792.9442,J
9.299.9.16702,9.299,9.16702,0,9,0,0,0,55,49.59316,J
9.261.9.16702,9.261,9.16702,0,0,0,0,0,20,49.0154,J
9.13.9.7076,9.13,9.7076,32,0,0,0,32,0,193.8636,J
9.282.9.7076,9.282,9.7076,1,0,1,0,2,0,185.9351,J
9.278.9.7076,9.278,9.7076,68,0,0,0,68,0,194.192829,J
9.261.9.7076,9.261,9.7076,13,0,31,0,44,0,191.1318,J
9.250.9.7076,9.25,9.7076,1,0,0,0,1,0,199.076,J
9.299.9.7076,9.299,9.7076,392,0,7,0,399,0,194.8927036,J
9.13.9.4823,9.13,9.4823,1,0,0,0,1,0,3.14,J
9.282.9.1526,9.282,9.1526,6,0,0,0,6,0,3335.8104,J
9.13.9.11465,9.13,9.11465,5,0,0,0,5,0,47.1,J
9.243.9.15229,9.243,9.15229,0,0,0,0,0,15,2521.42,J
9.282.9.15229,9.282,9.15229,102,0,63,0,165,160,2540.529475,J
9.278.9.15229,9.278,9.15229,10,0,4,0,14,0,2544.2792,J
9.282.9.12675,9.282,9.12675,0,16,0,0,0,16,0,J
9.278.9.12675,9.278,9.12675,7,0,0,0,7,0,62.6116,J
9.13.9.5747,9.13,9.5747,0,7,5,5,5,5,3394.5912,J
