guid,itemId,type,itemWatt,batteryCapacityWh,itemCategory,manufacturerID
9.14723,Kit Discount,Discount,0.00,0,Other,AAB84CAD
9.11957,Promotional Discount,Discount,0.00,0,Other,AAB84CAD
9.1503,Descuento,Discount,0.00,0,Other,AAB84CAD
9.14291,Servicio ensamblaje,NonInvtPart,0.00,0,Other,AAB84CAD
9.750,General Discount,Discount,0.00,0,Other,AAB84CAD
9.13728,37-113728,InvtPart,0.00,0,Other,0EDD91EB
9.16698,41-116698,InvtPart,0.00,0,Charging Stations,CB1F0617
9.17145,41-117145,InvtPart,0.00,0,Charging Stations,CB1F0617
9.16940,41-116940,InvtPart,0.00,0,Charging Stations,CB1F0617
9.17143,41-117143,InvtPart,0.00,0,Charging Stations,CB1F0617
9.16943,41-116943,InvtPart,0.00,0,Charging Stations,CB1F0617
9.16941,41-116941,InvtPart,0.00,0,Charging Stations,CB1F0617
9.16936,41-116936,InvtPart,0.00,0,Charging Stations,CB1F0617
9.16696,41-116696,InvtPart,0.00,0,Charging Stations,CB1F0617
9.16944,41-116944,InvtPart,0.00,0,Charging Stations,CB1F0617
9.5926,35-013446,InvtPart,0.00,0,Storage,BB5B98F7
9.14577,39-114577,InvtPart,0.00,0,Racking,CFD96F15
9.14575,39-114575,InvtPart,0.00,0,Racking,CFD96F15
9.14578,39-114578,InvtPart,0.00,0,Racking,CFD96F15
9.16848,39-116848,InvtPart,0.00,0,Racking,8210C7C7
9.16868,39-116868,InvtPart,0.00,0,Racking,8210C7C7
9.12651,41-112651,InvtPart,0.00,0,Charging Stations,08F557B6
9.12655,41-112655,InvtPart,0.00,0,Charging Stations,08F557B6
9.14850,41-114850,InvtPart,0.00,0,Charging Stations,08F557B6
9.12675,37-112675,InvtPart,0.00,0,Other,BB5B98F7
9.5747,35-013892,InvtPart,0.00,4000,Storage,BB5B98F7
9.12425,40-112425,InvtPart,0.00,0,Storage,BB5B98F7
9.12427,40-112427,InvtPart,0.00,0,Storage,BB5B98F7
9.5513,35-012450,InvtPart,0.00,0,Storage,BB5B98F7
9.12663,37-112663,InvtPart,0.00,0,Other,BB5B98F7
9.4996,35-010902,InvtPart,0.00,0,Storage,BB5B98F7
