guid,headerGuid,itemGuid,locationGuid,purchaseOrderNumber,inventoryGuid,status,createdDate,tranDate,plannedDate,actualReceiptDate,linePosition,qtyOrdered,qtyOpen,qtyReceived,amount,itemRate,isDropShip,isIntercompany,SubsidiaryID
9.1131033.5,9.1131033,9.8916,9.1,PO-E-2021-0425,9.1.9.8916,Fully Billed,2021-12-10,2022-01-03,2022-01-20,2022-01-17,5,60.00,0.00,60.00,1397.3000,69.8650000,NULL,0,J
9.1027317.2,9.1027317,9.8472,9.1,PO-E-2021-0398,9.1.9.8472,Fully Billed,2021-11-17,2022-01-03,2022-01-03,2022-01-03,2,288.00,0.00,288.00,96453.9548,1004.7372000,NULL,0,J
9.1131033.2,9.1131033,9.9365,9.1,PO-E-2021-0425,9.1.9.9365,Fully Billed,2021-12-10,2022-01-03,2022-01-20,2022-01-17,2,90.00,0.00,90.00,2095.9500,69.8650000,NULL,0,J
9.1027317.3,9.1027317,9.8463,9.1,PO-E-2021-0398,9.1.9.8463,Fully Billed,2021-11-17,2022-01-03,2022-01-03,2022-01-03,3,36.00,0.00,36.00,8891.9148,740.9772000,NULL,0,J
9.1131033.12,9.1131033,9.9365,9.1,PO-E-2021-0425,9.1.9.9365,Fully Billed,2021-12-10,2022-01-03,2022-01-20,2022-01-17,12,30.00,0.00,30.00,698.6500,69.8650000,NULL,0,J
9.1027317.4,9.1027317,9.8466,9.1,PO-E-2021-0398,9.1.9.8466,Fully Billed,2021-11-17,2022-01-03,2022-01-03,2022-01-03,4,36.00,0.00,36.00,8891.9148,740.9772000,NULL,0,J
9.1131033.9,9.1131033,9.9365,9.1,PO-E-2021-0425,9.1.9.9365,Fully Billed,2021-12-10,2022-01-03,2022-01-20,2022-01-17,9,30.00,0.00,30.00,698.6500,69.8650000,NULL,0,J
9.1027317.1,9.1027317,9.8469,9.1,PO-E-2021-0398,9.1.9.8469,Fully Billed,2021-11-17,2022-01-03,2022-01-03,2022-01-03,1,288.00,0.00,288.00,96453.9548,1004.7372000,NULL,0,J
9.1131033.6,9.1131033,9.8927,9.1,PO-E-2021-0425,9.1.9.8927,Fully Billed,2021-12-10,2022-01-03,2022-01-20,2022-01-17,6,60.00,0.00,60.00,3800.6560,190.0328000,NULL,0,J
9.1027317.5,9.1027317,9.8895,9.1,PO-E-2021-0398,9.1.9.8895,Fully Billed,2021-11-17,2022-01-03,2022-01-03,2022-01-03,5,18.00,0.00,18.00,10031.5778,1671.9244000,NULL,0,J
9.1131033.4,9.1131033,9.9354,9.1,PO-E-2021-0425,9.1.9.9354,Fully Billed,2021-12-10,2022-01-03,2022-01-20,2022-01-17,4,60.00,0.00,60.00,27971.1200,1398.5560000,NULL,0,J
9.1027317.6,9.1027317,9.9581,9.1,PO-E-2021-0398,9.1.9.9581,Fully Billed,2021-11-17,2022-01-03,2022-01-03,2022-01-03,6,18.00,0.00,18.00,10031.5778,1671.9244000,NULL,0,J
9.1131033.11,9.1131033,9.8944,9.1,PO-E-2021-0425,9.1.9.8944,Fully Billed,2021-12-10,2022-01-03,2022-01-20,2022-01-10,11,30.00,0.00,30.00,3608.4880,360.8488000,NULL,0,J
9.925422.2,9.925422,9.8472,9.1,PO-E-2021-0352,9.1.9.8472,Fully Billed,2021-10-25,2022-01-03,2022-01-14,2022-01-03,2,144.00,0.00,144.00,49341.4262,1027.9418000,NULL,0,J
9.1131033.10,9.1131033,9.9375,9.1,PO-E-2021-0425,9.1.9.9375,Fully Billed,2021-12-10,2022-01-03,2022-01-20,2022-01-17,10,30.00,0.00,30.00,17066.2140,1706.6214000,NULL,0,J
9.925422.4,9.925422,9.8466,9.1,PO-E-2021-0352,9.1.9.8466,Fully Billed,2021-10-25,2022-01-03,2022-01-03,2022-01-03,4,144.00,0.00,144.00,36310.5832,756.4574000,NULL,0,J
9.1131033.13,9.1131033,9.9002,9.1,PO-E-2021-0425,9.1.9.9002,Fully Billed,2021-12-10,2022-01-03,2022-01-20,2022-01-17,13,30.00,0.00,30.00,2235.6800,223.5680000,NULL,0,J
9.925422.6,9.925422,9.9581,9.1,PO-E-2021-0352,9.1.9.9581,Fully Billed,2021-10-25,2022-01-03,2022-01-14,2022-01-03,6,18.00,0.00,18.00,10263.7494,1710.6092000,NULL,0,J
9.1169448.1,9.1169448,9.889,NULL,PO-E-2021-0435,NULL,Fully Billed,2021-12-22,2022-01-03,2022-02-04,2022-01-31,1,27.00,0.00,27.00,12999.6000,1444.4000000,NULL,0,J
9.925422.3,9.925422,9.8463,9.1,PO-E-2021-0352,9.1.9.8463,Fully Billed,2021-10-25,2022-01-03,2022-01-14,2022-01-03,3,144.00,0.00,144.00,36310.5832,756.4574000,NULL,0,J
